,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,Heating,HeatingQC,CentralAir,Electrical,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalSF,Has2Floor,HasBsmt
13,14,20,RL,91.0,10652,Pave,No Alley,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,306.0,306.0,4,3,PConc,4,3,3,GasA,5,Y,SBrkr,0,0,2,0,3,4,7,Typ,1,4,Attchd,2006.0,RFn,3,840,3,3,Y,1,1,0,0,0,0,No Fence,No Shed,8,2007,New,Partial,12.540761149388421,2988,0,1
14,15,20,RL,73.0,10920,Pave,No Alley,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,212.0,212.0,3,3,CBlock,3,3,1,GasA,3,Y,SBrkr,1,0,1,1,2,3,5,Typ,1,2,Attchd,1960.0,RFn,1,352,3,3,Y,0,1,1,0,0,0,GdWo,No Shed,5,2008,WD,Normal,11.964007453736912,2506,0,1
15,16,45,RM,51.0,6120,Pave,No Alley,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,0.0,3,3,BrkTil,3,3,1,GasA,5,Y,FuseA,0,0,1,0,2,3,5,Typ,0,0,Detchd,1991.0,Unf,2,576,3,3,Y,1,1,0,0,0,0,GdPrv,No Shed,7,2007,WD,Normal,11.790564777297387,1686,0,1
16,17,20,RL,73.0,11241,Pave,No Alley,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,180.0,180.0,3,3,CBlock,3,3,1,GasA,5,Y,SBrkr,1,0,1,0,2,3,5,Typ,1,3,Attchd,1970.0,Fin,2,480,3,3,Y,0,0,0,0,0,0,No Fence,Shed,3,2010,WD,Normal,11.91170829631447,2008,0,1
17,18,90,RL,72.0,10791,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,0.0,0.0,3,3,Slab,0,0,0,GasA,3,Y,SBrkr,0,0,2,0,2,3,6,Typ,0,0,CarPort,1967.0,Unf,2,516,3,3,Y,0,0,0,0,0,0,No Fence,Shed,10,2006,WD,Normal,11.407576060361786,1296,0,0
18,19,20,RL,66.0,13695,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,0.0,0.0,3,3,PConc,3,3,1,GasA,5,Y,SBrkr,1,0,1,1,3,4,6,Typ,0,0,Detchd,2004.0,Unf,2,576,3,3,Y,0,1,0,0,0,0,No Fence,No Shed,6,2008,WD,Normal,11.976665770490767,2228,0,1
19,20,20,RL,70.0,7560,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,0.0,0.0,3,3,CBlock,3,3,1,GasA,3,Y,SBrkr,0,0,1,0,3,3,6,Min1,0,0,Attchd,1958.0,Unf,1,294,3,3,Y,0,0,0,0,0,0,MnPrv,No Shed,5,2009,COD,Abnorml,11.842236406331555,2368,0,1
20,21,60,RL,101.0,14215,Pave,No Alley,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,380.0,380.0,4,3,PConc,5,3,3,GasA,5,Y,SBrkr,0,0,3,1,4,4,9,Typ,1,4,BuiltIn,2005.0,RFn,3,853,3,3,Y,1,1,0,0,0,0,No Fence,No Shed,11,2006,New,Partial,12.692506186542177,3534,1,1
21,22,45,RM,57.0,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,0.0,3,3,PConc,3,3,1,GasA,5,Y,FuseF,0,0,1,0,3,4,6,Typ,1,4,Attchd,1930.0,Unf,1,280,3,3,N,0,0,1,0,0,0,GdPrv,No Shed,6,2007,WD,Normal,11.845109950883979,1745,0,1
22,23,20,RL,75.0,9742,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,281.0,281.0,4,3,PConc,4,3,1,GasA,5,Y,SBrkr,0,0,2,0,3,4,7,Typ,1,4,Attchd,2002.0,RFn,2,534,3,3,Y,1,1,0,0,0,0,No Fence,No Shed,9,2008,WD,Normal,12.345838935721968,3572,0,1
23,24,120,RM,44.0,4224,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,0.0,0.0,3,3,PConc,4,3,1,GasA,3,Y,SBrkr,1,0,1,0,3,3,6,Typ,1,3,Attchd,1976.0,Unf,2,572,3,3,Y,1,1,0,0,0,0,No Fence,No Shed,6,2007,WD,Normal,11.774527900858468,2100,0,1
24,25,20,RL,71.0,8246,Pave,No Alley,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,0.0,0.0,3,4,CBlock,3,3,2,GasA,5,Y,SBrkr,1,0,1,0,3,4,6,Typ,1,3,Attchd,1968.0,Unf,1,270,3,3,Y,1,1,0,0,0,0,MnPrv,No Shed,5,2010,WD,Normal,11.944714374881176,2120,0,1
25,26,20,RL,110.0,14230,Pave,No Alley,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,640.0,640.0,4,3,PConc,4,3,1,GasA,5,Y,SBrkr,0,0,2,0,3,4,7,Typ,1,4,Attchd,2007.0,RFn,3,890,3,3,Y,0,1,0,0,0,0,No Fence,No Shed,7,2009,WD,Normal,12.454107814022272,3166,0,1
26,27,20,RL,60.0,7200,Pave,No Alley,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,0.0,3,3,CBlock,3,3,2,GasA,3,Y,SBrkr,0,1,1,0,3,4,5,Typ,0,0,Detchd,2005.0,Unf,2,576,3,3,Y,1,1,0,0,0,0,No Fence,No Shed,5,2010,WD,Normal,11.811554895830454,1800,0,1
27,28,20,RL,98.0,11478,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,200.0,200.0,4,3,PConc,5,3,1,GasA,5,Y,SBrkr,1,0,2,0,3,4,7,Typ,1,4,Attchd,2008.0,RFn,3,772,3,3,Y,0,1,0,0,0,0,No Fence,No Shed,5,2010,WD,Normal,12.631343648903034,3408,0,1
28,29,20,RL,47.0,16321,Pave,No Alley,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,0.0,0.0,3,3,CBlock,3,3,4,GasA,3,Y,SBrkr,1,0,1,0,2,3,6,Typ,2,4,Attchd,1957.0,RFn,1,319,3,3,Y,1,1,0,0,0,0,No Fence,No Shed,12,2006,WD,Normal,12.242891437918386,3084,0,1
29,30,30,RM,60.0,6324,Pave,No Alley,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,0.0,0.0,3,3,BrkTil,3,3,1,GasA,2,N,SBrkr,0,0,1,0,1,2,4,Typ,0,0,Detchd,1920.0,Unf,1,240,2,3,Y,1,0,1,0,0,0,No Fence,No Shed,5,2008,WD,Normal,11.134603622683905,1040,0,1
30,31,70,C (all),50.0,8500,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,0.0,0.0,3,2,BrkTil,3,3,1,GasA,3,N,SBrkr,0,0,1,0,3,3,6,Typ,0,0,Detchd,1920.0,Unf,1,250,3,2,N,0,1,1,0,0,0,MnPrv,No Shed,7,2008,WD,Normal,10.596659732783579,1966,1,1
31,32,20,RL,71.0,8544,Pave,No Alley,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,0.0,0.0,3,3,CBlock,3,3,1,GasA,4,Y,SBrkr,0,0,1,1,3,4,6,Typ,0,0,Attchd,1966.0,Unf,1,271,3,3,Y,0,1,0,0,0,0,MnPrv,No Shed,6,2008,WD,Normal,11.914054519303125,2456,0,1
32,33,20,RL,85.0,11049,Pave,No Alley,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,0.0,0.0,4,3,PConc,5,3,3,GasA,5,Y,SBrkr,0,0,2,0,3,4,7,Typ,0,0,Attchd,2007.0,RFn,2,484,3,3,Y,0,1,0,0,0,0,No Fence,No Shed,1,2008,WD,Normal,12.100161978566867,2468,0,1
33,34,20,RL,70.0,10552,Pave,No Alley,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,0.0,0.0,3,3,CBlock,3,3,1,GasA,4,Y,SBrkr,0,1,1,1,4,4,6,Typ,1,4,Attchd,1959.0,RFn,2,447,3,3,Y,0,1,0,0,0,0,No Fence,No Shed,4,2010,WD,Normal,12.016732516077072,3098,0,1
34,35,120,RL,60.0,7313,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,246.0,246.0,5,3,PConc,5,3,1,GasA,5,Y,SBrkr,1,0,2,0,2,5,6,Typ,1,4,Attchd,2005.0,Fin,2,556,3,3,Y,1,1,0,0,0,0,No Fence,No Shed,8,2007,WD,Normal,12.533579815765737,3122,0,1
35,36,60,RL,108.0,13418,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,132.0,132.0,4,3,PConc,5,3,3,GasA,5,Y,SBrkr,0,0,3,1,4,4,9,Typ,1,4,BuiltIn,2004.0,Fin,3,691,3,3,Y,1,1,0,0,0,0,No Fence,No Shed,9,2006,WD,Normal,12.6410997921206,3569,1,1
36,37,20,RL,112.0,10859,Pave,No Alley,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,0.0,0.0,3,3,PConc,4,3,1,GasA,5,Y,SBrkr,0,0,1,1,3,3,6,Typ,0,0,Attchd,1995.0,Unf,2,672,3,3,Y,1,1,0,0,0,0,No Fence,No Shed,6,2009,WD,Normal,11.884495917930655,2194,0,1
37,38,20,RL,74.0,8532,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,650.0,650.0,3,3,CBlock,3,3,1,GasA,4,Y,SBrkr,0,1,1,0,3,3,5,Typ,1,3,Attchd,1954.0,Fin,2,498,3,3,Y,0,0,0,0,0,0,No Fence,No Shed,10,2009,WD,Normal,11.938199736300925,2594,0,1
38,39,20,RL,68.0,7922,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,0.0,0.0,3,4,CBlock,3,3,1,GasA,3,Y,SBrkr,1,0,1,0,3,4,5,Typ,0,0,Detchd,1953.0,Unf,1,246,3,3,Y,0,1,0,0,0,0,No Fence,No Shed,1,2010,WD,Abnorml,11.599112335481124,2114,0,1
39,40,90,RL,65.0,6040,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,0.0,0.0,3,3,PConc,0,0,0,GasA,3,N,FuseP,0,0,2,0,2,2,6,Typ,0,0,No Garage,1979.0,No Garage,0,0,0,0,N,0,0,0,0,0,0,No Fence,No Shed,6,2008,WD,AdjLand,11.314486721293981,1152,0,0
40,41,20,RL,84.0,8658,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,101.0,101.0,3,3,CBlock,3,3,1,GasA,5,Y,SBrkr,0,0,2,0,3,3,6,Typ,1,3,Attchd,1965.0,RFn,2,440,3,3,Y,0,1,0,0,0,0,GdWo,No Shed,12,2006,WD,Abnorml,11.982935344196433,2412,0,1
41,42,20,RL,115.0,16905,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,0.0,0.0,3,4,CBlock,3,3,4,GasA,4,Y,SBrkr,0,1,1,1,2,3,5,Typ,2,4,Attchd,1959.0,RFn,1,308,3,3,P,0,1,0,0,0,0,No Fence,No Shed,7,2007,WD,Normal,12.04355959836804,2678,0,1
42,43,85,RL,66.5,9180,Pave,No Alley,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,0.0,0.0,3,3,CBlock,4,3,3,GasA,4,Y,SBrkr,1,0,1,0,2,4,5,Typ,0,0,Attchd,1983.0,RFn,2,504,3,4,Y,1,0,0,0,0,0,MnPrv,No Shed,12,2007,WD,Normal,11.87757552297847,1724,0,1
43,44,20,RL,70.0,9200,Pave,No Alley,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,0.0,0.0,3,3,CBlock,4,3,3,GasA,3,Y,SBrkr,1,0,1,0,3,3,5,Typ,0,0,Detchd,1977.0,Unf,1,308,3,3,Y,1,0,0,0,0,0,MnPrv,No Shed,7,2008,WD,Normal,11.777218637129327,1876,0,1
44,45,20,RL,70.0,7945,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,0.0,0.0,3,3,CBlock,3,3,1,GasA,5,Y,FuseA,1,0,1,0,3,3,6,Typ,0,0,Attchd,1959.0,RFn,1,300,3,3,Y,0,0,0,0,0,0,No Fence,No Shed,5,2006,WD,Normal,11.856522261533737,2300,0,1
45,46,120,RL,61.0,7658,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,412.0,412.0,5,3,PConc,5,3,1,GasA,5,Y,SBrkr,1,0,2,0,2,5,6,Typ,1,4,Attchd,2005.0,RFn,2,576,3,3,Y,1,1,0,0,0,0,No Fence,No Shed,2,2010,WD,Normal,12.675766851909591,3504,0,1
46,47,50,RL,48.0,12822,Pave,No Alley,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,0.0,0.0,4,3,PConc,5,3,1,GasA,5,Y,SBrkr,1,0,1,1,1,4,6,Typ,1,5,Attchd,2003.0,RFn,2,670,3,3,Y,1,1,0,0,1,0,No Fence,No Shed,8,2009,WD,Abnorml,12.387089184491993,3583,1,1
47,48,20,FV,84.0,11096,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,0.0,0.0,4,3,PConc,4,3,3,GasA,5,Y,SBrkr,0,0,2,0,3,4,7,Typ,0,0,Attchd,2006.0,RFn,3,826,3,3,Y,0,1,0,0,0,0,No Fence,No Shed,7,2007,WD,Normal,12.428019481065613,3312,0,1
48,49,190,RM,33.0,4456,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,0.0,0.0,3,3,BrkTil,3,3,1,GasA,4,Y,SBrkr,0,0,2,0,2,3,8,Typ,0,0,No Garage,1979.0,No Garage,0,0,0,0,N,0,0,1,0,0,0,No Fence,No Shed,6,2009,New,Partial,11.635151947212842,2188,1,1
49,50,20,RL,66.0,7742,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,0.0,0.0,3,3,CBlock,3,3,1,GasA,5,Y,SBrkr,1,0,1,0,3,3,6,Typ,0,0,Attchd,1966.0,Unf,1,386,3,3,Y,0,0,0,0,0,0,MnPrv,No Shed,1,2007,WD,Normal,11.751950239425476,1910,0,1
50,51,60,RL,65.0,13869,Pave,No Alley,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,0.0,0.0,3,3,PConc,4,3,3,GasA,4,Y,SBrkr,0,1,2,0,3,3,6,Typ,0,0,Attchd,1997.0,Fin,2,388,3,3,Y,0,1,0,0,0,0,No Fence,No Shed,7,2007,WD,Normal,12.083910661257521,2264,1,1
51,52,50,RM,52.0,6240,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,0.0,3,3,PConc,3,3,1,GasA,3,Y,SBrkr,0,0,1,0,3,3,6,Typ,1,4,Detchd,1985.0,Unf,2,528,3,3,Y,1,0,0,0,0,0,MnPrv,Shed,9,2006,WD,Normal,11.648338835562747,1632,0,1
52,53,90,RM,110.0,8472,Grvl,No Alley,IR2,Bnk,AllPub,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,0.0,2,3,CBlock,4,3,4,GasA,3,N,SBrkr,1,0,1,0,2,3,5,Typ,0,0,CarPort,1963.0,Unf,2,516,3,3,Y,1,0,0,0,0,0,No Fence,No Shed,5,2010,WD,Normal,11.608244735642321,1632,0,1
53,54,20,RL,68.0,50271,Pave,No Alley,IR1,Low,AllPub,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,9,5,1981,1987,Gable,WdShngl,WdShing,Wd Shng,0.0,0.0,4,3,CBlock,5,3,4,GasA,4,Y,SBrkr,2,0,0,1,0,4,5,Typ,1,4,Attchd,1981.0,Fin,3,894,3,3,Y,1,1,0,0,0,0,No Fence,No Shed,11,2006,WD,Normal,12.861001210669146,3684,0,1
54,55,80,RL,60.0,7134,Pave,No Alley,Reg,Bnk,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,SLvl,5,5,1955,1955,Gable,CompShg,MetalSd,MetalSd,0.0,0.0,3,3,CBlock,3,3,1,GasA,3,Y,SBrkr,0,0,1,0,3,3,6,Min1,1,3,Detchd,1962.0,Unf,2,572,3,3,Y,0,1,0,0,0,0,MnPrv,No Shed,2,2007,WD,Normal,11.775297421715827,1744,0,1
